id,name,lat,lon,description
1,"Escape power training",50.37960188885908,30.47749333708412,"Regular Escape training. Come join us!"
2,"Bike L.A.B.",50.3970159821533,30.5100979140542,"Every Tuesday, Thursday easy ride. Let's go!"
